client_id,system_info_id,hostname,cpuUsage,ramUsage,timestamp
1,1,Ubuntu,82.5,3880 MB used / 7933 MB total,2023-10-10 16:00:28
1,2,Ubuntu,23.4,3889 MB used / 7933 MB total,2023-10-10 16:00:33
1,3,Ubuntu,21.2,3880 MB used / 7933 MB total,2023-10-10 16:00:39
1,4,Ubuntu,21.3,3905 MB used / 7933 MB total,2023-10-10 16:00:44
1,5,Ubuntu,68.8,3897 MB used / 7933 MB total,2023-10-10 16:00:49
2,6,Incedo,24.1,2778 MB used / 8104 MB total,2023-10-10 16:30:08
2,7,Incedo,49,2759 MB used / 8104 MB total,2023-10-10 16:30:13
2,8,Incedo,35.7,2773 MB used / 8104 MB total,2023-10-10 16:30:18
2,9,Incedo,34.5,2768 MB used / 8104 MB total,2023-10-10 16:30:24
2,10,Incedo,38.3,2770 MB used / 8104 MB total,2023-10-10 16:30:29
3,11,Incedo,66,1973 MB used / 7837 MB total,2023-10-10 16:51:48
3,12,Incedo,83,1979 MB used / 7837 MB total,2023-10-10 16:51:54
3,13,Incedo,62.5,1998 MB used / 7837 MB total,2023-10-10 16:51:59
3,14,Incedo,78.6,1993 MB used / 7837 MB total,2023-10-10 16:52:05
3,15,Incedo,85.5,2026 MB used / 7837 MB total,2023-10-10 16:52:10
3,16,Incedo,64.1,2042 MB used / 7837 MB total,2023-10-10 16:52:15
3,17,Incedo,80.4,2041 MB used / 7837 MB total,2023-10-10 16:52:21
3,18,Incedo,75.8,2027 MB used / 7837 MB total,2023-10-10 16:52:26
3,19,Incedo,75.9,2070 MB used / 7837 MB total,2023-10-10 16:52:31
2,20,Incedo,30.9,2737 MB used / 8104 MB total,2023-10-10 16:52:34
3,21,Incedo,83.6,2080 MB used / 7837 MB total,2023-10-10 16:52:37
2,22,Incedo,36.8,2738 MB used / 8104 MB total,2023-10-10 16:52:40
3,23,Incedo,77.6,2082 MB used / 7837 MB total,2023-10-10 16:52:42
2,24,Incedo,42.1,2740 MB used / 8104 MB total,2023-10-10 16:52:45
3,25,Incedo,80.3,2088 MB used / 7837 MB total,2023-10-10 16:52:47
2,26,Incedo,38,2731 MB used / 8104 MB total,2023-10-10 16:52:50
3,27,Incedo,69.8,2097 MB used / 7837 MB total,2023-10-10 16:52:53
2,28,Incedo,47.2,2734 MB used / 8104 MB total,2023-10-10 16:52:55
3,29,Incedo,76.8,2118 MB used / 7837 MB total,2023-10-10 16:52:58
2,30,Incedo,73.6,2736 MB used / 8104 MB total,2023-10-10 16:53:01
3,31,Incedo,79.6,2144 MB used / 7837 MB total,2023-10-10 16:53:04
2,32,Incedo,36.9,2732 MB used / 8104 MB total,2023-10-10 16:53:06
3,33,Incedo,77.4,2144 MB used / 7837 MB total,2023-10-10 16:53:09
3,34,Incedo,78.5,2161 MB used / 7837 MB total,2023-10-10 16:53:14
3,35,Incedo,70.4,2176 MB used / 7837 MB total,2023-10-10 16:53:20
2,36,Incedo,33.4,2725 MB used / 8104 MB total,2023-10-10 16:57:04
3,37,Incedo,68.4,2267 MB used / 7837 MB total,2023-10-10 16:57:04
2,38,Incedo,88.9,2738 MB used / 8104 MB total,2023-10-10 16:57:09
3,39,Incedo,69,2266 MB used / 7837 MB total,2023-10-10 16:57:09
2,40,Incedo,27.5,2723 MB used / 8104 MB total,2023-10-10 16:57:26
3,41,Incedo,78.6,2270 MB used / 7837 MB total,2023-10-10 16:57:26
2,42,Incedo,36.4,2726 MB used / 8104 MB total,2023-10-10 16:57:32
